epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,506.268,0.72647,1.0952,0.89332,0.82604,0.66805,0.81719,0.66736,0.79976,0.94136,0.92492,0.000125267,0.000125267,0.000125267
108,510.962,0.71467,1.06874,0.8807,0.81761,0.74344,0.83352,0.67625,0.80966,0.88826,0.92479,0.000122515,0.000122515,0.000122515
109,516.773,0.73189,1.09001,0.8981,0.81933,0.69424,0.82789,0.67745,0.80769,0.90099,0.92801,0.000119762,0.000119762,0.000119762
110,521.655,0.7246,1.05891,0.89653,0.73589,0.78659,0.81481,0.66607,0.80466,0.9333,0.92832,0.00011701,0.00011701,0.00011701
111,526.263,0.72543,1.08452,0.88743,0.81445,0.66997,0.80093,0.65915,0.79937,0.91955,0.93881,0.000114258,0.000114258,0.000114258
112,531.144,0.69773,1.07848,0.88762,0.81261,0.68814,0.81545,0.67048,0.80041,0.93021,0.93846,0.000111506,0.000111506,0.000111506
113,536.431,0.70937,1.05291,0.88292,0.81773,0.71844,0.81939,0.67071,0.79088,0.90003,0.92648,0.000108754,0.000108754,0.000108754
114,541.116,0.71821,1.11167,0.89268,0.8246,0.74984,0.84263,0.69462,0.78474,0.84935,0.92956,0.000106001,0.000106001,0.000106001
115,545.554,0.73355,1.04044,0.88955,0.79917,0.74065,0.8323,0.6827,0.78678,0.86584,0.9275,0.000103249,0.000103249,0.000103249
116,551.193,0.69199,1.03263,0.88538,0.85788,0.72103,0.83262,0.69134,0.78558,0.86411,0.92216,0.000100497,0.000100497,0.000100497
117,555.792,0.69196,1.02931,0.88743,0.79563,0.76781,0.83458,0.68843,0.78368,0.85185,0.91812,9.77448e-05,9.77448e-05,9.77448e-05
118,560.175,0.68641,0.95618,0.88488,0.8306,0.70005,0.8374,0.68794,0.78124,0.87618,0.91731,9.49926e-05,9.49926e-05,9.49926e-05
119,564.437,0.69528,1.01716,0.88781,0.81035,0.75029,0.83234,0.68853,0.78143,0.87823,0.918,9.22404e-05,9.22404e-05,9.22404e-05
